Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
ATHM,Autohome Inc.,78.97,78.23,0.937064708117,Technology
ATI,Allegheny Technologies Incorporated,19.58,21.77,-11.184882533197147,Basic Industries
ATKR,Atkore International Group Inc.,26.23,19.84,24.36141822340831,Miscellaneous
ATO,Atmos Energy Corporation,106.94,91.7605,14.194408079296805,Public Utilities
ATR,"AptarGroup, Inc.",117.08,93.44,20.19132217287325,Consumer Non-Durables
ATTO,Atento S.A.,2.32,4.01,-72.84482758620689,Public Utilities
ATU,Actuant Corporation,20.89,20.99,-0.4786979415988409,Technology
ATUS,"Altice USA, Inc.",26.23,16.52,37.018680899733134,Consumer Services
ATV,"Acorn International, Inc.",17.838,20.931,-17.339387823747053,Consumer Services
AU,AngloGold Ashanti Limited,20.11,12.4891,37.89607160616608,Basic Industries
AUO,AU Optronics Corp,2.43,3.94,-62.13991769547324,Technology
AUY,Yamana Gold Inc.,3.41,2.3556,30.920821114369506,Basic Industries
AVA,Avista Corporation,45.18,41.6943,7.715139442231078,Public Utilities
AVAL,Grupo Aval Acciones y Valores S.A.,7.07,5.7863,18.157001414427164,Finance
AVB,"AvalonBay Communities, Inc.",200.62,172.7328,13.900508423885958,Consumer Services
AVD,American Vanguard Corporation,13.34,15.1721,-13.73388305847077,Basic Industries
AVH,Avianca Holdings S.A.,3.88,4.0126,-3.417525773195878,Transportation
AVP,"Avon Products, Inc.",4.28,1.52,64.48598130841123,Consumer Non-Durables
AVX,AVX Corporation,14.52,15.1561,-4.380853994490364,Capital Goods
AVY,Avery Dennison Corporation,108.34,88.9128,17.931696510983937,Consumer Durables
AVYA,Avaya Holdings Corp.,10.59,14.56,-37.48819641170917,Public Utilities
AWI,Armstrong World Industries Inc,95.42,57.9567,39.26147558163907,Consumer Non-Durables
AWK,American Water Works,115.38,89.9141,22.071329519847456,Public Utilities
AWR,American States Water Company,76.58,66.5209,13.135413946200053,Public Utilities
AXE,Anixter International Inc.,57.42,54.31,5.416231278300242,Consumer Non-Durables
AXL,"American Axle & Manufacturing Holdings, Inc.",8.55,11.1,-29.82456140350876,Capital Goods
AXP,American Express Company,120.72,94.5967,21.639579191517562,Finance
AXR,AMREP Corporation,6.16,5.95,3.4090909090909083,Consumer Services
AXS,Axis Capital Holdings Limited,62.33,51.2682,17.747152254131233,Finance
AXTA,Axalta Coating Systems Ltd.,28.22,23.42,17.009213323883763,Basic Industries
AYI,"Acuity Brands, Inc. ",127.56,114.7193,10.06640012543117,Consumer Durables
AYR,Aircastle Limited,19.5,16.74,14.15384615384616,Technology
AYX,"Alteryx, Inc.",125.65,59.47,52.67011539992041,Technology
AZN,Astrazeneca PLC,43.56,37.1288,14.764003673094592,Health Care
AZO,"AutoZone, Inc.",1062.92,838.34,21.128589169457722,Consumer Services
AZRE,Azure Power Global Limited,10.45,9.05,13.397129186602857,Public Utilities
AZUL,Azul S.A.,39.11,27.69,29.199693173101505,Transportation
AZZ,AZZ Inc.,43.02,40.0566,6.888423988842399,Consumer Durables
B,"Barnes Group, Inc.",45.88,53.3256,-16.228421970357452,Capital Goods
BA,Boeing Company (The),331.06,319.0549,3.626261100706828,Capital Goods
BABA,Alibaba Group Holding Limited,153.67,137.07,10.802368712175438,Miscellaneous
BAC,Bank of America Corporation,28.08,24.3831,13.16559829059829,Finance
BAH,Booz Allen Hamilton Holding Corporation,67.36,44.8776,33.37648456057007,Consumer Services
BAM,Brookfield Asset Management Inc,47.75,38.0813,20.248586387434557,Consumer Services
BANC,"Banc of California, Inc.",14.2,13.1924,7.095774647887325,Finance
BAP,Credicorp Ltd.,209.16,221.67,-5.981067125645435,Finance
BAS,"Basic Energy Services, Inc.",1.5,3.84,-155.99999999999997,Energy
BAX,Baxter International Inc.,81.91,65.4658,20.075937004028805,Health Care
BB,BlackBerry Limited,6.85,7.11,-3.7956204379562144,Technology
BBD,Banco Bradesco Sa,8.47,8.2175,2.9811097992916324,Finance
BBDO,Banco Bradesco Sa,7.51,8.6522,-15.209054593874843,Finance
BBL,BHP Group Plc,43.57,38.9765,10.542804682120723,Energy
BBT,BB&T Corporation,47.37,42.6122,10.043909647456188,Finance
BBU,Brookfield Business Partners L.P.,36.75,30.2862,17.588571428571427,Basic Industries
BBVA,Banco Bilbao Viscaya Argentaria S.A.,4.94,5.1363,-3.973684210526314,Finance
BBW,"Build-A-Bear Workshop, Inc.",3.75,3.95,-5.3333333333333375,Consumer Services
BBX,BBX Capital Corporation,3.93,5.7179,-45.49363867684478,Finance
BBY,"Best Buy Co., Inc.",66.14,52.1818,21.104021771998788,Consumer Services
BC,Brunswick Corporation,45.46,46.0597,-1.3191816981962134,Energy
BCC,"Boise Cascade, L.L.C.",28.88,23.6837,17.99272853185595,Consumer Services
BCE,"BCE, Inc.",45.98,39.0056,15.168334058286204,Public Utilities
BCEI,"Bonanza Creek Energy, Inc.",20.52,20.67,-0.730994152046794,Energy
BCH,Banco De Chile,27.46,27.6219,-0.5895848506919129,Finance
BCO,Brink&#39;s Company (The),85.38,64.3936,24.579995315062064,Transportation
BCRH,Blue Capital Reinsurance Holdings Ltd.,7.98,5.3835,32.53759398496241,Finance
BCS,Barclays PLC,7.11,7.3629,-3.556962025316448,Finance
BDC,Belden Inc,45.0,41.734,7.257777777777774,Basic Industries
BDN,Brandywine Realty Trust,14.26,12.5348,12.098176718092562,Consumer Services
BDX,"Becton, Dickinson and Company",236.34,223.8993,5.263899466869761,Health Care
BDXA,"Becton, Dickinson and Company",58.41,56.2198,3.749700393768186,Health Care
BEDU,Bright Scholar Education Holdings Limited,9.08,9.21,-1.4317180616740173,Consumer Services
BEN,"Franklin Resources, Inc.",30.53,29.425,3.6193907631837554,Finance
BEP,Brookfield Renewable Partners L.P.,35.93,25.0645,30.240745894795438,Public Utilities
BERY,"Berry Global Group, Inc.",42.63,47.53,-11.494252873563214,Consumer Non-Durables
BFAM,Bright Horizons Family Solutions Inc.,147.8,111.45,24.594046008119083,Miscellaneous
BFS,"Saul Centers, Inc.",51.4,46.2632,9.99377431906615,Consumer Services
BG,Bunge Limited,55.3,52.4383,5.174864376130198,Consumer Non-Durables
BGG,Briggs & Stratton Corporation,8.61,12.9349,-50.23112659698027,Energy
BGS,"B&G Foods, Inc.",20.0,28.3589,-41.79449999999999,Consumer Non-Durables
BH,Biglari Holdings Inc.,89.76,113.58,-26.537433155080205,Consumer Services
BHE,"Benchmark Electronics, Inc.",25.92,21.0582,18.75694444444445,Technology
BHGE,"Baker Hughes, a GE company",23.81,21.1682,11.095338093238135,Energy
BHLB,"Berkshire Hills Bancorp, Inc.",29.81,26.5492,10.93861120429386,Finance
BHP,BHP Group Limited,50.43,45.347,10.079317866349392,Basic Industries
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,39.57,36.98,6.545362648471073,Health Care
BID,Sotheby&#39;s,58.31,39.74,31.847024524095353,Miscellaneous
BIG,"Big Lots, Inc.",24.01,28.6685,-19.402332361516034,Consumer Services
BIO,"Bio-Rad Laboratories, Inc.",318.8,232.22,27.158092848180683,Capital Goods
BIP,Brookfield Infrastructure Partners LP,43.94,33.6997,23.305188893946287,Consumer Services
BITA,Bitauto Holdings Limited,11.02,24.77,-124.77313974591652,Technology
BK,Bank Of New York Mellon Corporation (The),45.06,46.5546,-3.3169107856191706,Finance
BKD,Brookdale Senior Living Inc.,7.34,6.7,8.719346049046317,Health Care
BKE,"Buckle, Inc. (The)",19.86,17.9264,9.736153071500496,Consumer Services
BKH,Black Hills Corporation,77.08,61.9144,19.675142708873892,Public Utilities
BKI,"Black Knight, Inc.",60.66,45.06,25.717111770524227,Technology
BKS,"Barnes & Noble, Inc.",6.5,6.7568,-3.950769230769233,Consumer Services
BKU,"BankUnited, Inc.",31.62,29.5675,6.4911448450347935,Finance
BLD,TopBuild Corp.,87.85,45.0,48.77632327831531,Basic Industries
BLK,"BlackRock, Inc.",431.32,386.8952,10.299731058147085,Finance
BLL,Ball Corporation,73.25,45.7844,37.495699658703074,Consumer Durables
BLW,Citigroup Inc.,15.29,13.0839,14.42838456507521,Finance
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",19.91,16.6682,16.28227021597188,Finance
BMA,Macro Bank Inc.,63.25,42.1935,33.290909090909096,Finance
BMI,"Badger Meter, Inc.",52.8,48.9464,7.298484848484849,Capital Goods
BMO,Bank Of Montreal,71.87,64.0692,10.85404202031447,Finance
BMY,Bristol-Myers Squibb Company,45.38,51.1225,-12.6542529748788,Health Care
BNED,"Barnes & Noble Education, Inc",3.14,4.01,-27.70700636942674,Consumer Services
BNS,Bank of Nova Scotia (The),51.73,49.2582,4.778271795863125,Finance
BOH,Bank of Hawaii Corporation,80.56,66.2587,17.752358490566035,Finance
BOOT,"Boot Barn Holdings, Inc.",30.44,17.03,44.053876478318,Consumer Services
BOX,"Box, Inc.",14.78,16.88,-14.208389715832205,Technology
BP,BP p.l.c.,37.66,36.8295,2.205257567711082,Energy
BPL,Buckeye Partners L.P.,41.62,27.8178,33.162421912542044,Energy
BPMP,BP Midstream Partners LP,14.97,14.9342,0.23914495657982668,Energy
BPT,BP Prudhoe Bay Royalty Trust,9.06,20.4554,-125.77704194260487,Energy
BR,"Broadridge Financial Solutions, Inc.",121.08,95.7989,20.87966633630657,Miscellaneous
BRC,Brady Corporation,49.08,43.0644,12.256723716381417,Consumer Durables
BRFS,BRF S.A.,8.45,5.68,32.781065088757394,Consumer Non-Durables
BRO,"Brown & Brown, Inc.",35.28,27.4132,22.298185941043087,Finance
BRT,BRT Apartments Corp.,13.53,11.2734,16.67849223946784,Consumer Services
BRX,Brixmor Property Group Inc.,18.32,14.1852,22.56986899563319,Consumer Services
BSAC,Banco Santander Chile,27.62,28.8152,-4.327299058653149,Finance
BSBR,Banco Santander Brasil SA,10.47,10.7804,-2.9646609360076366,Finance
BSM,"Black Stone Minerals, L.P.",14.76,14.8438,-0.5677506775067757,Energy
BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.79,6.0115,11.465390279823271,Finance
BSX,Boston Scientific Corporation,41.36,35.34,14.555125725338483,Health Care
BT,BT Group plc,11.39,15.2,-33.450395083406484,Public Utilities
BTE,Baytex Energy Corp,1.36,1.76,-29.411764705882344,Energy
BTI,British American Tobacco p.l.c.,36.05,31.3619,13.004438280166433,Consumer Non-Durables
BTU,Peabody Energy Corporation,18.05,28.3712,-57.18116343490305,Energy
BUD,Anheuser-Busch Inbev SA,98.19,64.9689,33.83348609838068,Consumer Non-Durables
BURL,"Burlington Stores, Inc.",171.73,162.67,5.275723519478253,Consumer Services
BVN,Buenaventura Mining Company Inc.,15.22,16.1611,-6.18331143232589,Basic Industries
BW,Babcock,3.51,0.3904,88.87749287749287,Capital Goods
BWA,BorgWarner Inc.,34.46,34.4373,0.06587347649448748,Capital Goods
BWXT,"BWX Technologies, Inc.",48.7,37.9656,22.04188911704312,Energy
BX,The Blackstone Group Inc.,44.53,29.0388,34.78823265214463,Finance
BXC,BlueLinx Holdings Inc.,21.83,24.71,-13.192853870819985,Capital Goods
BXG,Bluegreen Vacations Corporation,9.28,12.6166,-35.954741379310356,Finance
BXMT,"Capital Trust, Inc.",34.66,31.2955,9.707155222158097,Consumer Services
BXP,"Boston Properties, Inc.",127.34,111.7419,12.249175435841057,Consumer Services
BY,"Byline Bancorp, Inc.",17.61,16.66,5.394662123793295,Finance
BYD,Boyd Gaming Corporation,25.37,20.7371,18.261332282223094,Consumer Services
BZH,"Beazer Homes USA, Inc.",10.94,9.48,13.345521023765988,Capital Goods
C,Citigroup Inc.,65.18,51.3659,21.193771095428048,Finance
CAAP,Corporacion America Airports SA,7.3,6.63,9.178082191780822,Transportation
CABO,"Cable One, Inc.",1168.58,816.8711,30.097117869551077,Consumer Services
CACI,"CACI International, Inc.",205.14,144.03,29.789412108803738,Technology
CADE,Cadence Bancorporation,15.41,16.4869,-6.9883192731992105,Finance
CAE,CAE Inc,26.62,18.2855,31.309166040571007,Miscellaneous
CAG,"ConAgra Brands, Inc.",28.0,21.0018,24.993571428571432,Consumer Non-Durables
CAH,"Cardinal Health, Inc.",45.55,44.1567,3.0588364434687083,Health Care
CAI,"CAI International, Inc.",21.47,23.23,-8.197484862598984,Technology
CAJ,"Canon, Inc.",26.53,27.6,-4.033169996230683,Miscellaneous
CAL,"Caleres, Inc.",15.16,27.7472,-83.02902374670185,Consumer Non-Durables
CALX,"Calix, Inc",5.96,9.75,-63.59060402684564,Consumer Services
CAPL,CrossAmerica Partners LP,16.28,13.3348,18.0909090909091,Energy
CARS,Cars.com Inc.,11.82,21.5,-81.89509306260575,Technology
CAT,"Caterpillar, Inc.",121.65,125.4971,-3.1624332100287686,Capital Goods
CATO,Cato Corporation (The),13.47,13.5766,-0.7913882702301298,Consumer Services
CB,Chubb Limited,148.49,128.48,13.475654926257672,Finance
CBB,Cincinnati Bell Inc,3.41,7.78,-128.1524926686217,Public Utilities
CBD,Companhia Brasileira de Distribuicao,23.47,20.6067,12.199829569663395,Consumer Services
CBL,"CBL & Associates Properties, Inc.",0.9312,1.8333,-96.87499999999999,Consumer Services
CBM,Cambrex Corporation,40.67,37.76,7.15515121711336,Health Care
CBPX,"Continental Building Products, Inc.",22.31,25.45,-14.074406095921116,Capital Goods
CBRE,"CBRE Group, Inc.",50.79,40.04,21.165583776333925,Finance
CBS,CBS Corporation,49.06,43.398,11.540970240521807,Consumer Services
CBT,Cabot Corporation,39.52,42.2817,-6.9881072874493855,Basic Industries
CBU,"Community Bank System, Inc.",61.36,57.9427,5.569263363754885,Finance
CBZ,"CBIZ, Inc.",22.83,19.7,13.710030661410421,Miscellaneous
CC,Chemours Company (The),13.78,27.7511,-101.38679245283019,Basic Industries
CCI,Crown Castle International Corporation,133.13,107.6524,19.13738451137985,Consumer Services
CCJ,Cameco Corporation,8.67,11.35,-30.911188004613603,Basic Industries
CCK,"Crown Holdings, Inc.",63.35,41.57,34.38042620363063,Consumer Durables
CCL,Carnival Corporation,45.21,48.4168,-7.093120990931212,Consumer Services
CCM,Concord Medical Services Holdings Limited,2.68,3.5601,-32.83955223880596,Health Care
CCO,"Clear Channel Outdoor Holdings, Inc.",2.5,5.19,-107.60000000000001,Consumer Services
CCR,CONSOL Coal Resources LP,15.41,15.5132,-0.6696950032446417,Energy
CCS,"Century Communities, Inc.",25.94,17.26,33.46183500385504,Capital Goods
CCU,"Compania Cervecerias Unidas, S.A.",26.61,24.2212,8.977076287110108,Consumer Non-Durables
CCZ,Comcast Corporation,52.0,51.32,1.307692307692307,Consumer Services
CDE,"Coeur Mining, Inc.",5.12,4.47,12.695312500000005,Basic Industries
CDR,"Cedar Realty Trust, Inc.",2.48,3.0461,-22.82661290322581,Consumer Services
CE,Celanese Corporation,103.19,88.9715,13.778951448783788,Basic Industries
CEA,China Eastern Airlines Corporation Ltd.,23.81,27.38,-14.993700125997483,Transportation
CEIX,CNX Resources Corporation,19.13,31.71,-65.76058546785156,Energy
CEL,"Cellcom Israel, Ltd.",2.65,5.88,-121.88679245283018,Public Utilities
CELP,"Cypress Energy Partners, L.P.",7.52,5.3088,29.404255319148938,Energy
CEO,CNOOC Limited,150.8,152.45,-1.0941644562334065,Energy
CEPU,Central Puerto S.A.,8.45,9.2,-8.875739644970416,Public Utilities
CEQP,Crestwood Equity Partners LP,35.13,26.9323,23.33532593225164,Consumer Services
CF,"CF Industries Holdings, Inc.",50.74,42.8864,15.478123768230192,Basic Industries
CFG,"Citizens Financial Group, Inc.",34.62,29.1995,15.657134604274978,Finance
CFR,"Cullen/Frost Bankers, Inc.",85.92,86.722,-0.9334264432029707,Finance
CFX,Colfax Corporation,24.71,20.9,15.418858761634974,Capital Goods
CGA,"China Green Agriculture, Inc.",4.1,0.4992,87.82439024390244,Basic Industries
CHA,China Telecom Corp Ltd,42.56,49.0949,-15.35455827067669,Public Utilities
CHCT,Community Healthcare Trust Incorporated,41.46,28.1792,32.032802701398936,Consumer Services
CHD,"Church & Dwight Company, Inc.",74.14,65.3275,11.886296196385217,Basic Industries
CHE,Chemed Corp.,406.66,282.7655,30.466360104264016,Health Care
CHGG,"Chegg, Inc.",43.12,28.42,34.09090909090908,Consumer Services
CHH,"Choice Hotels International, Inc.",81.34,71.382,12.24243914433243,Consumer Services
CHK,Chesapeake Energy Corporation,1.56,2.1,-34.61538461538461,Energy
CHKR,Chesapeake Granite Wash Trust,1.0233,1.0439,-2.0130948890843303,Energy
CHL,China Mobile (Hong Kong) Ltd.,40.14,47.0758,-17.27902341803687,Public Utilities
CHMI,Cherry Hill Mortgage Investment Corporation,14.92,17.0838,-14.502680965147455,Consumer Services
CHS,"Chico&#39;s FAS, Inc.",2.92,5.5184,-88.98630136986301,Consumer Services
CHSP,Chesapeake Lodging Trust,26.17,24.0068,8.265953381734823,Consumer Services
CHT,"Chunghwa Telecom Co., Ltd.",33.71,35.79,-6.170275882527434,Public Utilities
CHU,China Unicom (Hong Kong) Ltd,9.16,10.4689,-14.289301310043662,Public Utilities
CI,Cigna Corporation,159.0,189.8737,-19.417421383647806,Health Care
CIA,"Citizens, Inc.",6.76,7.52,-11.242603550295856,Finance
CIB,BanColombia S.A.,46.39,37.8719,18.361931450743704,Finance
CIEN,Ciena Corporation,41.25,33.91,17.7939393939394,Public Utilities
CIG,Comp En De Mn Cemig ADS,3.51,3.4493,1.7293447293447224,Public Utilities
CIM,Chimera Investment Corporation,19.1,17.3605,9.107329842931954,Consumer Services
CINR,Ciner Resources LP,16.13,20.5961,-27.688158710477378,Basic Industries
CIO,"City Office REIT, Inc.",12.55,9.845,21.55378486055777,Consumer Services
CIR,"CIRCOR International, Inc.",37.39,21.3,43.032896496389405,Capital Goods
CISN,Cision Ltd.,9.78,11.7,-19.631901840490798,Technology
CIT,CIT Group Inc (DEL),45.23,37.8132,16.39796595180189,Finance
CJ,"C&J Energy Services, Inc",10.05,13.5,-34.32835820895521,Energy
CKH,"SEACOR Holdings, Inc.",45.56,37.0,18.78841088674276,Transportation
CL,Colgate-Palmolive Company,68.8,58.7527,14.603633720930235,Consumer Non-Durables
CLB,Core Laboratories N.V.,42.96,58.7165,-36.677141527001865,Energy
CLDR,"Cloudera, Inc.",6.48,11.06,-70.679012345679,Technology
CLDT,Chatham Lodging Trust (REIT),17.11,17.1935,-0.4880187025131549,Consumer Services
CLF,Cleveland-Cliffs Inc.,8.83,7.6049,13.874292185730466,Basic Industries
CLGX,"CoreLogic, Inc.",44.84,33.42,25.46833184656557,Technology
CLH,"Clean Harbors, Inc.",73.22,49.35,32.60038240917782,Basic Industries
CLI,Mack-Cali Realty Corporation,22.51,19.2153,14.636605952909829,Consumer Services
CLNC,"Colony Credit Real Estate, Inc.",15.61,15.0952,3.297885970531706,Consumer Services
CLPR,Clipper Realty Inc.,10.53,13.07,-24.121557454890798,Consumer Services
CLR,"Continental Resources, Inc.",31.54,40.19,-27.425491439441974,Energy
CLS,"Celestica, Inc.",6.78,8.77,-29.351032448377566,Technology
CLW,Clearwater Paper Corporation,19.61,24.37,-24.273329933707302,Basic Industries
CLX,Clorox Company (The),155.03,152.2297,1.8062955556988922,Consumer Durables
CM,Canadian Imperial Bank of Commerce,75.86,73.5816,3.003427366200903,Finance
CMA,Comerica Incorporated,64.43,68.1318,-5.745460189352772,Finance
CMC,Commercial Metals Company,16.25,15.7931,2.811692307692303,Basic Industries
CMCM,Cheetah Mobile Inc.,3.09,6.11,-97.73462783171523,Technology
CMD,Cantel Medical Corp.,91.29,74.3557,18.55000547705116,Health Care
CMG,"Chipotle Mexican Grill, Inc.",780.21,431.79,44.65720767485677,Consumer Services
CMI,Cummins Inc.,151.43,131.7347,13.006207488608599,Energy
CMO,Capstead Mortgage Corporation,8.16,6.6079,19.020833333333336,Consumer Services
CMP,"Compass Minerals International, Inc.",53.43,40.569,24.070746771476692,Basic Industries
CMRE,Costamare Inc.,5.4,4.227,21.72222222222222,Transportation
CMS,CMS Energy Corporation,58.22,48.938,15.942974922706968,Public Utilities
CMSA,CMS Energy Corporation,26.25,23.7,9.714285714285717,Public Utilities
CNA,CNA Financial Corporation,46.31,41.5823,10.208810192183126,Finance
CNC,Centene Corporation,48.52,57.65,-18.816982687551516,Health Care
CNDT,Conduent Incorporated,8.43,10.63,-26.09727164887309,Miscellaneous
CNHI,CNH Industrial N.V.,9.23,9.044,2.0151679306608874,Capital Goods
CNI,Canadian National Railway Company,91.27,73.4433,19.53182864029802,Transportation
CNK,Cinemark Holdings Inc,39.57,35.1661,11.129390952741977,Consumer Services
CNNE,"Cannae Holdings, Inc.",28.6,17.12,40.13986013986014,Consumer Services
CNO,"CNO Financial Group, Inc.",15.24,14.6899,3.6095800524934414,Finance
CNP,"CenterPoint Energy, Inc.",28.55,27.6999,2.977583187390547,Public Utilities
CNQ,Canadian Natural Resources Limited,23.14,23.8909,-3.245030250648219,Energy
CNS,Cohen & Steers Inc,50.44,33.782,33.02537668517051,Finance
CNX,CNX Resources Corporation,6.83,11.42,-67.20351390922401,Energy
CNXM,CNX Midstream Partners LP,14.61,15.5261,-6.270362765229296,Public Utilities
CO,Global Cord Blood Corporation,5.52,6.45,-16.847826086956534,Finance
CODI,Compass Diversified Holdings,18.41,11.8892,35.41988049972841,Consumer Durables
COE,China Online Education Group,5.3,7.22,-36.22641509433962,Consumer Services
COF,Capital One Financial Corporation,86.62,74.8739,13.560494112214267,Finance
COG,Cabot Oil & Gas Corporation,17.45,22.2103,-27.279656160458458,Energy
COLD,Americold Realty Trust,33.17,25.3719,23.509496533011763,Consumer Services
COO,"The Cooper Companies, Inc. ",325.68,254.4715,21.864560304593468,Health Care
COP,ConocoPhillips,54.68,61.7606,-12.949158741770294,Energy
COR,CoreSite Realty Corporation,108.83,86.3267,20.6774786364054,Consumer Services
CORR,"CorEnergy Infrastructure Trust, Inc.",41.16,31.825,22.67978620019436,Consumer Services
COT,Cott Corporation,12.44,13.8196,-11.090032154340836,Consumer Non-Durables
COTY,Coty Inc.,10.15,6.4971,35.98916256157636,Consumer Non-Durables
CP,Canadian Pacific Railway Limited,228.17,177.1953,22.34066704650041,Transportation
CPA,"Copa Holdings, S.A.",98.3,77.5796,21.078738555442524,Transportation
CPAC,Cementos Pacasmayo S.A.A.,8.65,9.499,-9.815028901734106,Capital Goods
CPB,Campbell Soup Company,41.21,32.3579,21.480465906333414,Consumer Non-Durables
CPE,Callon Petroleum Company,4.33,6.49,-49.88452655889146,Energy
CPF,CPB Inc.,28.2,23.9803,14.963475177304964,Finance
CPG,Crescent Point Energy Corporation,2.96,3.0126,-1.7770270270270263,Energy
CPK,Chesapeake Utilities Corporation,90.8,80.9781,10.817070484581498,Public Utilities
CPL,CPFL Energia S.A.,16.54,14.5589,11.9776299879081,Public Utilities
CPS,Cooper-Standard Holdings Inc.,40.72,62.12,-52.554027504911595,Capital Goods
CPT,Camden Property Trust,101.74,87.3559,14.1380971102811,Consumer Services
CR,Crane Co.,77.75,71.4947,8.045401929260457,Capital Goods
CRC,California Resources Corporation,11.37,17.04,-49.868073878627975,Energy
CRCM,"Care.com, Inc.",10.22,19.31,-88.94324853228962,Consumer Services
CRH,CRH PLC,31.3,25.8565,17.391373801916934,Capital Goods
CRI,"Carter&#39;s, Inc.",86.93,80.7255,7.137351892327171,Consumer Non-Durables
CRK,"Comstock Resources, Inc.",5.93,4.53,23.6087689713322,Energy
CRL,"Charles River Laboratories International, Inc.",126.51,113.18,10.536716465101572,Health Care
CRM,Salesforce.com Inc,142.82,136.97,4.096064976893989,Technology
CRR,"Carbo Ceramics, Inc.",1.26,3.48,-176.19047619047618,Capital Goods
CRS,Carpenter Technology Corporation,45.84,35.3188,22.952006980802793,Basic Industries
CRT,Cross Timbers Royalty Trust,10.32,10.5841,-2.5591085271317744,Energy
CRY,"CryoLife, Inc.",26.68,28.38,-6.371814092953521,Health Care
CS,Credit Suisse Group,11.37,10.6491,6.340369393139829,Finance
CSL,Carlisle Companies Incorporated,137.09,99.8911,27.13465606535853,Basic Industries
CSLT,"Castlight Health, inc.",1.58,2.17,-37.341772151898724,Technology
CSS,"CSS Industries, Inc.",5.0,8.7148,-74.296,Consumer Services
CSTM,Constellium SE,11.19,6.99,37.533512064343164,Basic Industries
CSU,Capital Senior Living Corporation,4.94,6.8,-37.651821862348164,Health Care
CSV,"Carriage Services, Inc.",22.5,15.3795,31.64666666666667,Consumer Services
CTB,Cooper Tire & Rubber Company,25.43,32.1033,-26.24184034604797,Consumer Durables
CTBB,Qwest Corporation,24.08,18.74,22.17607973421927,Public Utilities
CTDD,Qwest Corporation,24.87,18.98,23.683152392440693,Public Utilities
CTL,"CenturyLink, Inc.",11.79,14.4953,-22.9457167090755,Public Utilities
CTLT,"Catalent, Inc.",53.47,31.18,41.68692724892463,Health Care
CTS,CTS Corporation,29.19,25.8566,11.419664268585136,Technology
CTT           ,"CatchMark Timber Trust, Inc.",9.58,6.9028,27.945720250521923,Consumer Services
CTY,Qwest Corporation,23.59,18.0,23.69648155998304,Public Utilities
CUB,Cubic Corporation,63.36,53.6232,15.367424242424246,Capital Goods
CUBE,CubeSmart,34.37,28.4069,17.349723596159432,Consumer Services
CUBI,"Customers Bancorp, Inc",18.88,18.2,3.601694915254236,Finance
CUK,Carnival Corporation,43.72,47.8425,-9.429322964318395,Consumer Services
CULP,"Culp, Inc.",16.72,18.7995,-12.437200956937797,Basic Industries
CURO,CURO Group Holdings Corp.,12.98,9.49,26.887519260400616,Finance
CUZ,Cousins Properties Incorporated,33.35,7.7753,76.68575712143928,Consumer Services
CVA,Covanta Holding Corporation,16.38,13.2282,19.24175824175824,Basic Industries
CVE,Cenovus Energy Inc,8.45,7.0002,17.15739644970413,Energy
CVEO,Civeo Corporation,1.55,1.43,7.741935483870975,Consumer Services
CVI,CVR Energy Inc.,48.5,33.2734,31.39505154639175,Energy
CVNA,Carvana Co.,60.97,32.71,46.350664261112016,Consumer Durables
CVS,CVS Health Corporation,54.51,64.4067,-18.155751238304905,Health Care
CVX,Chevron Corporation,118.74,106.6579,10.175256863735891,Energy
CW,Curtiss-Wright Corporation,118.6,101.9832,14.010792580101178,Technology
CWH,"Camping World Holdings, Inc.",10.8,11.3377,-4.978703703703696,Consumer Durables
CWT,California Water  Service Group Holding,51.78,47.285,8.680957898802635,Public Utilities
CX,Cemex S.A.B. de C.V.,3.1,4.82,-55.48387096774194,Capital Goods
CXO,Concho Resources Inc.,70.23,102.5581,-46.03175281218851,Energy
CXP,"Columbia Property Trust, Inc.",20.93,18.9938,9.250836120401337,Consumer Services
CXW,"CoreCivic, Inc.",16.8,17.4326,-3.7654761904761904,Consumer Services
CYD,China Yuchai International Limited,13.32,12.44,6.606606606606611,Energy
CYH,"Community Health Systems, Inc.",1.91,2.82,-47.64397905759162,Health Care
CZZ,Cosan Limited,13.52,8.8,34.91124260355029,Consumer Non-Durables
D,"Dominion Energy, Inc.",74.67,69.7435,6.5976965314048535,Public Utilities
DAC,Danaos Corporation,7.32,10.5,-43.44262295081967,Transportation
DAL,"Delta Air Lines, Inc.",57.82,49.2562,14.811138014527847,Transportation
DAN,Dana Incorporated,14.5,13.4805,7.031034482758626,Capital Goods
DAR,Darling Ingredients Inc.,19.56,19.24,1.6359918200409014,Consumer Non-Durables
DB,Deutsche Bank AG,7.65,8.0113,-4.722875816993463,Finance
DBD,Diebold Nixdorf Incorporated,12.84,2.49,80.60747663551402,Miscellaneous
DCI,"Donaldson Company, Inc.",46.8,43.0351,8.044658119658115,Capital Goods
DCO,Ducommun Incorporated,39.33,36.32,7.653190948385452,Capital Goods
DCP,DCP Midstream LP,26.57,25.2339,5.0286036883703495,Public Utilities
DCUD,"Dominion Energy, Inc.",50.28,46.2476,8.019888623707244,Public Utilities
DDD,3D Systems Corporation,8.24,10.17,-23.422330097087375,Technology
